Ref,Val,Package,PosX,PosY,Rot,Side
"D77","DESD5V0S1BA-7","D_SOD-323",87.090000,-74.140000,90.000000,top
"D78","DESD5V0S1BA-7","D_SOD-323",101.060000,-74.140000,90.000000,top
"D79","DESD5V0S1BA-7","D_SOD-323",101.060000,-63.895000,90.000000,top
"D80","DESD5V0S1BA-7","D_SOD-323",86.995000,-63.895000,90.000000,top
"D81","DESD5V0S1BA-7","D_SOD-323",86.805000,-104.350000,90.000000,top
"D82","DESD5V0S1BA-7","D_SOD-323",100.775000,-104.775000,90.000000,top
"D83","DESD5V0S1BA-7","D_SOD-323",86.900000,-115.075000,90.000000,top
"D84","DESD5V0S1BA-7","D_SOD-323",100.775000,-115.160000,90.000000,top
"D85","DESD5V0S1BA-7","D_SOD-323",86.900000,-124.925000,90.000000,top
"D86","DESD5V0S1BA-7","D_SOD-323",100.870000,-125.010000,90.000000,top
"D87","DESD5V0S1BA-7","D_SOD-323",86.995000,-135.170000,90.000000,top
"D88","DESD5V0S1BA-7","D_SOD-323",100.870000,-135.170000,90.000000,top
"D89","DESD5V0S1BA-7","D_SOD-323",128.810000,-135.160000,90.000000,top
"D90","DESD5V0S1BA-7","D_SOD-323",114.840000,-135.255000,90.000000,top
"D91","DESD5V0S1BA-7","D_SOD-323",128.810000,-125.015000,90.000000,top
"D92","DESD5V0S1BA-7","D_SOD-323",114.840000,-124.685000,90.000000,top
"D93","DESD5V0S1BA-7","D_SOD-323",128.810000,-114.545000,90.000000,top
"D94","DESD5V0S1BA-7","D_SOD-323",114.935000,-114.850000,90.000000,top
"D95","DESD5V0S1BA-7","D_SOD-323",128.905000,-104.605000,90.000000,top
"D96","DESD5V0S1BA-7","D_SOD-323",114.935000,-104.690000,90.000000,top
"J110","SD Holder MEM2061-01-188-00-A_REVA","MicroSD Holder",256.817400,-31.621000,90.000000,top
"Q1","BSS138","SOT95P240X111-3N",261.830000,-132.080000,0.000000,top
"R1","10K","R_0603_1608Metric",78.635600,-41.910000,0.000000,top
"R2","10K","R_0603_1608Metric",109.730000,-68.580000,0.000000,top
"R3","10K","R_0603_1608Metric",104.648000,-68.580000,180.000000,top
"R4","10K","R_0603_1608Metric",124.270000,-68.495000,0.000000,top
"R5","10K","R_0603_1608Metric",118.300000,-68.495000,180.000000,top
"R6","10K","R_0603_1608Metric",110.300000,-78.585000,0.000000,top
"R7","10K","R_0603_1608Metric",104.330000,-78.585000,180.000000,top
"R8","10K","R_0603_1608Metric",124.335000,-78.515000,0.000000,top
"R9","10K","R_0603_1608Metric",118.365000,-78.515000,180.000000,top
"R10","10K","R_0603_1608Metric",124.335000,-98.820000,0.000000,top
"R11","10K","R_0603_1608Metric",118.365000,-98.820000,180.000000,top
"R12","10K","R_0603_1608Metric",110.365000,-98.890000,0.000000,top
"R13","10K","R_0603_1608Metric",104.395000,-98.890000,180.000000,top
"R14","10K","R_0603_1608Metric",124.430000,-88.745000,0.000000,top
"R15","10K","R_0603_1608Metric",118.460000,-88.745000,180.000000,top
"R16","10K","R_0603_1608Metric",110.365000,-88.815000,0.000000,top
"R17","10K","R_0603_1608Metric",104.450000,-88.815000,180.000000,top
"R18","10K","R_0603_1608Metric",96.330000,-98.820000,0.000000,top
"R19","10K","R_0603_1608Metric",90.360000,-98.820000,180.000000,top
"R20","10K","R_0603_1608Metric",82.360000,-98.960000,0.000000,top
"R21","10K","R_0603_1608Metric",76.390000,-98.960000,180.000000,top
"R22","10K","R_0603_1608Metric",96.330000,-88.955000,0.000000,top
"R23","10K","R_0603_1608Metric",90.360000,-88.955000,180.000000,top
"R24","10K","R_0603_1608Metric",82.360000,-89.040000,0.000000,top
"R25","10K","R_0603_1608Metric",76.390000,-89.040000,180.000000,top
"R26","10K","R_0603_1608Metric",82.455000,-78.585000,0.000000,top
"R27","10K","R_0603_1608Metric",76.485000,-78.585000,180.000000,top
"R28","10K","R_0603_1608Metric",96.425000,-78.670000,0.000000,top
"R29","10K","R_0603_1608Metric",90.455000,-78.670000,180.000000,top
"R30","10K","R_0603_1608Metric",96.425000,-68.580000,0.000000,top
"R31","10K","R_0603_1608Metric",90.455000,-68.580000,180.000000,top
"R32","10K","R_0603_1608Metric",82.360000,-68.750000,0.000000,top
"R33","10K","R_0603_1608Metric",76.390000,-68.750000,180.000000,top
"R34","10K","R_0603_1608Metric",110.300000,-109.135000,0.000000,top
"R35","10K","R_0603_1608Metric",104.330000,-109.135000,180.000000,top
"R36","10K","R_0603_1608Metric",124.270000,-109.135000,0.000000,top
"R37","10K","R_0603_1608Metric",118.300000,-109.135000,180.000000,top
"R38","10K","R_0603_1608Metric",110.300000,-119.535000,0.000000,top
"R39","10K","R_0603_1608Metric",104.330000,-119.535000,180.000000,top
"R40","10K","R_0603_1608Metric",124.175000,-119.620000,0.000000,top
"R41","10K","R_0603_1608Metric",118.205000,-119.620000,180.000000,top
"R42","10K","R_0603_1608Metric",110.205000,-129.540000,0.000000,top
"R43","10K","R_0603_1608Metric",104.235000,-129.540000,180.000000,top
"R44","10K","R_0603_1608Metric",124.175000,-129.680000,0.000000,top
"R45","10K","R_0603_1608Metric",118.205000,-129.680000,180.000000,top
"R46","10K","R_0603_1608Metric",110.205000,-139.910000,0.000000,top
"R47","10K","R_0603_1608Metric",104.235000,-139.910000,180.000000,top
"R48","10K","R_0603_1608Metric",124.080000,-139.955000,0.000000,top
"R49","10K","R_0603_1608Metric",118.110000,-139.955000,180.000000,top
"R50","10K","R_0603_1608Metric",96.235000,-139.615000,0.000000,top
"R51","10K","R_0603_1608Metric",90.265000,-139.615000,180.000000,top
"R52","10K","R_0603_1608Metric",82.360000,-139.615000,0.000000,top
