Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R96,150R,R_0603_1608Metric,228.981,-104.648,90,top
R97,100K,R_0603_1608Metric,200.915,-99.695,0,top
R98,150R,R_0603_1608Metric,230.505,-108.204,90,top
R99,100K,R_0603_1608Metric,148.4,-77.47,0,top
R100,100K,R_0603_1608Metric,148.4,-80.645,0,top
R101,150R,R_0603_1608Metric,134.62,-104.648,90,top
R102,150R,R_0603_1608Metric,136.144,-108.204,90,top
R103,100K,R_0603_1608Metric,148.4,-83.82,0,top
R104,100K,R_0603_1608Metric,148.4,-86.995,0,top
R105,150R,R_0603_1608Metric,137.668,-104.648,90,top
R106,150R,R_0603_1608Metric,139.192,-108.204,90,top
R107,100K,R_0603_1608Metric,148.4,-90.17,0,top
R108,100K,R_0603_1608Metric,148.4,-93.345,0,top
R109,150R,R_0603_1608Metric,140.716,-104.648,90,top
R110,150R,R_0603_1608Metric,142.24,-108.204,90,top
R111,100K,R_0603_1608Metric,148.4,-96.52,0,top
R112,100K,R_0603_1608Metric,148.4,-99.695,0,top
R113,150R,R_0603_1608Metric,143.764,-104.648,90,top
R114,150R,R_0603_1608Metric,145.288,-108.204,90,top
R115,100K,R_0603_1608Metric,155.665,-77.47,0,top
R116,100K,R_0603_1608Metric,155.665,-80.645,0,top
R117,150R,R_0603_1608Metric,146.812,-104.648,90,top
R118,150R,R_0603_1608Metric,148.336,-108.204,90,top
R119,100K,R_0603_1608Metric,155.665,-83.82,0,top
R120,100K,R_0603_1608Metric,155.665,-86.995,0,top
R121,150R,R_0603_1608Metric,149.86,-104.648,90,top
R122,150R,R_0603_1608Metric,151.384,-108.204,90,top
R123,100K,R_0603_1608Metric,155.665,-90.17,0,top
R124,100K,R_0603_1608Metric,155.665,-93.345,0,top
R125,150R,R_0603_1608Metric,152.908,-104.648,90,top
R126,150R,R_0603_1608Metric,154.432,-108.204,90,top
R127,100K,R_0603_1608Metric,155.665,-96.52,0,top
R128,100K,R_0603_1608Metric,155.665,-99.695,0,top
R129,150R,R_0603_1608Metric,155.956,-104.648,90,top
R130,10K,R_0603_1608Metric,223.52,-71.755,-90,top
R131,10K,R_0603_1608Metric,223.52,-75.565,90,top
R132,10K,R_0603_1608Metric,98.235,-46.99,180,top
R133,10K,R_0603_1608Metric,164.02,-26.035,180,top
R134,10K,R_0603_1608Metric,265.43,-131.255,-90,top
R135,10K,R_0603_1608Metric,256.54,-132.08,90,top
R136,10K,R_0603_1608Metric,234.696,-72.136,90,top
R137,10K,R_0603_1608Metric,250.19,-54.165,90,top
R138,10K,R_0603_1608Metric,246.38,-54.165,90,top
R139,10K,R_0603_1608Metric,250.19,-61.785,90,top
R140,10K,R_0603_1608Metric,246.38,-61.785,90,top
R141,10K,R_0603_1608Metric,250.19,-69.405,90,top
R142,10K,R_0603_1608Metric,246.38,-69.405,90,top
R143,10K,R_0603_1608Metric,250.19,-84.645,90,top
R144,10K,R_0603_1608Metric,246.38,-84.645,90,top
R145,10K,R_0603_1608Metric,250.19,-77.025,90,top
R146,10K,R_0603_1608Metric,246.38,-77.025,90,top
R147,10K,R_0603_1608Metric,250.19,-99.885,90,top
R148,10K,R_0603_1608Metric,246.38,-99.885,90,top
R149,10K,R_0603_1608Metric,250.19,-92.265,90,top
R150,10K,R_0603_1608Metric,246.38,-92.265,90,top
R151,10K,R_0603_1608Metric,250.19,-106.045,90,top
R152,10K,R_0603_1608Metric,246.38,-106.045,90,top
R153,0R,R_0603_1608Metric,40.64,-33.655,-90,top
R154,0R,R_0603_1608Metric,56.705,-148.59,0,top
R155,0R,R_0603_1608Metric,260.4516,-137.3632,90,top
R156,0R,R_0603_1608Metric,254,-41.91,0,top
R157,0R,R_0603_1608Metric,137.16,-85.915,90,top
R158,10K,R_0603_1608Metric,160.655,-62.23,-90,top
R159,100K,R_0603_1608Metric,208.788,-62.7248,90,top
R160,100K,R_0603_1608Metric,204.978,-62.7248,90,top
R161,100K,R_0603_1608Metric,211.328,-48.3748,-90,top
R162,100K,R_0603_1608Metric,206.248,-48.3748,-90,top
R163,150R,R_0603_1608Metric,157.48,-108.204,90,top
R164,300R,R_0603_1608Metric,252.6284,-117.602,90,top
R165,100K,R_0603_1608Metric,163.4225,-77.47,0,top
R166,100K,R_0603_1608Metric,171.0425,-77.47,0,top
R167,100K,R_0603_1608Metric,178.435,-77.47,0,top
R168,100K,R_0603_1608Metric,185.8275,-77.47,0,top
R169,150R,R_0603_1608Metric,159.004,-104.648,90,top
R170,150R,R_0603_1608Metric,171.196,-104.648,90,top
R171,150R,R_0603_1608Metric,183.388,-104.648,90,top
R172,150R,R_0603_1608Metric,195.58,-104.648,90,top
R173,100K,R_0603_1608Metric,163.4225,-80.645,0,top
R174,100K,R_0603_1608Metric,171.0425,-80.645,0,top
R175,100K,R_0603_1608Metric,178.435,-80.645,0,top
R176,100K,R_0603_1608Metric,185.8275,-80.645,0,top
R177,150R,R_0603_1608Metric,160.528,-108.204,90,top
R178,150R,R_0603_1608Metric,172.72,-108.204,90,top
R179,150R,R_0603_1608Metric,184.912,-108.204,90,top
R180,150R,R_0603_1608Metric,197.104,-108.204,90,top
R181,100K,R_0603_1608Metric,163.4225,-83.82,0,top
R182,100K,R_0603_1608Metric,171.0425,-83.82,0,top
R183,100K,R_0603_1608Metric,178.435,-83.82,0,top
R184,100K,R_0603_1608Metric,185.8275,-83.82,0,top
R185,150R,R_0603_1608Metric,162.052,-104.648,90,top
R186,150R,R_0603_1608Metric,174.244,-104.648,90,top
